SiteId,SiteName,Rainfall24hr,DataSourceAgency,MonitorDate
66,冬山,23.2,行政院環保署,2016-11-26
66,冬山,46.8,行政院環保署,2016-11-25
66,冬山,68,行政院環保署,2016-11-24
66,冬山,258.4,行政院環保署,2016-11-23
66,冬山,92.4,行政院環保署,2016-11-22
66,冬山,x,行政院環保署,2016-11-21
66,冬山,0,行政院環保署,2016-11-20
66,冬山,0,行政院環保署,2016-11-19
66,冬山,0,行政院環保署,2016-11-18
66,冬山,0,行政院環保署,2016-11-17
66,冬山,3.6,行政院環保署,2016-11-16
66,冬山,3.4,行政院環保署,2016-11-15
66,冬山,x,行政院環保署,2016-11-14
66,冬山,x,行政院環保署,2016-11-13
66,冬山,x,行政院環保署,2016-11-12
66,冬山,0.4,行政院環保署,2016-11-11
66,冬山,1.2,行政院環保署,2016-11-10
66,冬山,3.2,行政院環保署,2016-11-9
66,冬山,11.8,行政院環保署,2016-11-8
66,冬山,8.4,行政院環保署,2016-11-7
66,冬山,2.2,行政院環保署,2016-11-6
66,冬山,0,行政院環保署,2016-11-5
66,冬山,17,行政院環保署,2016-11-4
66,冬山,13,行政院環保署,2016-11-3
66,冬山,12.2,行政院環保署,2016-11-2
66,冬山,47,行政院環保署,2016-11-1
65,宜蘭,3.2,行政院環保署,2016-11-30
65,宜蘭,9.4,行政院環保署,2016-11-29
65,宜蘭,0,行政院環保署,2016-11-28
65,宜蘭,10.2,行政院環保署,2016-11-27
65,宜蘭,6.8,行政院環保署,2016-11-26
65,宜蘭,46.8,行政院環保署,2016-11-25
65,宜蘭,14.8,行政院環保署,2016-11-24
65,宜蘭,58.2,行政院環保署,2016-11-23
65,宜蘭,62.6,行政院環保署,2016-11-22
65,宜蘭,1,行政院環保署,2016-11-21
65,宜蘭,2.4,行政院環保署,2016-11-20
65,宜蘭,0,行政院環保署,2016-11-19
65,宜蘭,0,行政院環保署,2016-11-18
65,宜蘭,0,行政院環保署,2016-11-17
65,宜蘭,2.8,行政院環保署,2016-11-16
65,宜蘭,0.2,行政院環保署,2016-11-15
65,宜蘭,0,行政院環保署,2016-11-14
